datasetID,institution,title,server
erdVHNchla3day,NOAA NMFS SWFSC ERD,"Chlorophyll a, North Pacific, NOAA VIIRS, 750m resolution, 2015-present (3 Day Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdVHNchla3day_Lon0360,NOAA NMFS SWFSC ERD,"Chlorophyll a, North Pacific, NOAA VIIRS, 750m resolution, 2015-present (3 Day Composite), Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdVHNchla8day,NOAA NMFS SWFSC ERD,"Chlorophyll a, North Pacific, NOAA VIIRS, 750m resolution, 2015-present (8 Day Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdVHNchla8day_Lon0360,NOAA NMFS SWFSC ERD,"Chlorophyll a, North Pacific, NOAA VIIRS, 750m resolution, 2015-present (8 Day Composite), Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdVHNchlamday,NOAA NMFS SWFSC ERD,"Chlorophyll a, North Pacific, NOAA VIIRS, 750m resolution, 2015-present (Monthly Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdVHNchlamday_Lon0360,NOAA NMFS SWFSC ERD,"Chlorophyll a, North Pacific, NOAA VIIRS, 750m resolution, 2015-present (Monthly Composite), Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNnoaa20chlaDaily,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA NOAA-20 VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present,  Daily","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNnoaa20chlaDaily_Lon0360,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA NOAA-20 VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present,  Daily, Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNnoaa20chlaWeekly,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA NOAA-20 VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present,  Weekly","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNnoaa20chlaWeekly_Lon0360,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA NOAA-20 VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present,  Weekly, Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNchlaDaily,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA S-NPP VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present,  Daily","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNchlaDaily_Lon0360,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA S-NPP VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present,  Daily, Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNchlaWeekly,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA S-NPP VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present,  Weekly","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNSQchlaDaily,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA S-NPP VIIRS, Science Quality, Global 4km, Level 3, 2012-present, Daily","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNSQchlaDaily_Lon0360,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA S-NPP VIIRS, Science Quality, Global 4km, Level 3, 2012-present, Daily, Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNSQchlaMonthly,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA S-NPP VIIRS, Science Quality, Global 4km, Level 3, 2012-present, Monthly","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNSQchlaWeekly,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA S-NPP VIIRS, Science Quality, Global 4km, Level 3, 2012-present, Weekly","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNSQchlaWeekly_Lon0360,NOAA NESDIS CoastWatch,"Chlorophyll, NOAA S-NPP VIIRS, Science Quality, Global 4km, Level 3, 2012-present, Weekly, Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdSHcdev8day,NOAA NMFS SWFSC ERD,"Chlorophyll-a Deviation, Orbview-2 SeaWiFS, 0.0125\u00b0, West US, 1998-2009 (8 Day Composite) DEPRECATED","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMGchlamday,NOAA CoastWatch WCN,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125 degrees, Gulf of Mexico, EXPERIMENTAL","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMWchla1day,NOAA NMFS SWFSC ERD,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125\u00b0, West US, EXPERIMENTAL, 2002-present (1 Day Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMWchla1day_LonPM180,NOAA NMFS SWFSC ERD,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125\u00b0, West US, EXPERIMENTAL, 2002-present (1 Day Composite), Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMWchla14day,NOAA NMFS SWFSC ERD,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125\u00b0, West US, EXPERIMENTAL, 2002-present (14 Day Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMWchla14day_LonPM180,NOAA NMFS SWFSC ERD,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125\u00b0, West US, EXPERIMENTAL, 2002-present (14 Day Composite), Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMWchla3day,NOAA NMFS SWFSC ERD,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125\u00b0, West US, EXPERIMENTAL, 2002-present (3 Day Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMWchla3day_LonPM180,NOAA NMFS SWFSC ERD,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125\u00b0, West US, EXPERIMENTAL, 2002-present (3 Day Composite), Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMWchla8day,NOAA NMFS SWFSC ERD,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125\u00b0, West US, EXPERIMENTAL, 2002-present (8 Day Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMWchla8day_LonPM180,NOAA NMFS SWFSC ERD,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125\u00b0, West US, EXPERIMENTAL, 2002-present (8 Day Composite), Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMWchlamday,NOAA NMFS SWFSC ERD,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125\u00b0, West US, EXPERIMENTAL, 2002-present (Monthly Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdMWchlamday_LonPM180,NOAA NMFS SWFSC ERD,"Chlorophyll-a, Aqua MODIS, NPP, 0.0125\u00b0, West US, EXPERIMENTAL, 2002-present (Monthly Composite), Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
